X,TimeBin,Dcall_rate.mean,Dcall_rl.mean,Dcall_rl_dBFS.mean,SI.mean,Dcall_rate.sd,Dcall_rl.sd,Dcall_rl_dBFS.sd,SI.sd,n,Dcall_rate.se,Dcall_rl.se,Dcall_rl_dBFS.se,SI.se,group
1,t00a,9.012658228,-12.49198317,-53.04498317,1.148555164,10.57512038,4.799149965,4.799149965,0.055956725,79,1.189793999,0.539946556,0.539946556,0.006295623,a
2,t105a,9.925,-13.23147311,-53.78447311,1.112187751,9.993383887,4.858855882,4.858855882,0.067423268,80,1.117294285,0.543236602,0.543236602,0.007538151,a
3,t105b,6.475,-14.03976429,-54.59276429,1.143051695,7.322541926,4.940232021,4.940232021,0.062852784,80,0.818685076,0.552334731,0.552334731,0.007027155,a
5,t120b,7.5,-13.95780657,-54.51080657,1.137857525,7.74299832,5.700714811,5.700714811,0.071638089,88,0.825406394,0.607698241,0.607698241,0.007636646,a
10,t15a,8.917647059,-12.70101395,-53.25401395,1.134803371,10.24835848,5.199521721,5.199521721,0.051899639,85,1.111590549,0.563967314,0.563967314,0.005629306,a
11,t15b,10.29268293,-13.50574825,-54.05874825,1.129845999,9.86512476,5.539148449,5.539148449,0.059886877,82,1.089420782,0.611696616,0.611696616,0.006613399,a
23,t30a,9.183908046,-13.03133908,-53.58433908,1.137744677,9.958668931,5.04140221,5.04140221,0.065725642,87,1.067681379,0.54049505,0.54049505,0.007046529,a
24,t30b,9.671052632,-12.81185025,-53.36485025,1.129488095,9.246820222,4.824609035,4.824609035,0.063773799,76,1.060683024,0.553420611,0.553420611,0.007315357,a
25,t45a,9.146341463,-12.71205384,-53.26505384,1.137787404,10.22236951,5.083946533,5.083946533,0.062417945,82,1.128871865,0.561427974,0.561427974,0.006892909,a
26,t45b,9.578947368,-13.44564874,-53.99864874,1.136579192,10.11568176,4.911760384,4.911760384,0.067201221,76,1.160348278,0.563417557,0.563417557,0.007708509,a
27,t60a,9.067567568,-12.33673575,-52.88973575,1.139774515,9.033167319,5.202517434,5.202517434,0.053420412,74,1.050084371,0.604780367,0.604780367,0.006209997,a
28,t60b,9.184210526,-12.9417025,-53.4947025,1.142999459,10.25502872,5.345685032,5.345685032,0.057459605,76,1.17633247,0.613192127,0.613192127,0.006591069,a
29,t75a,8.328947368,-11.71195564,-52.26495564,1.135842481,8.64929771,5.144086456,5.144086456,0.064434513,76,0.992142491,0.590067185,0.590067185,0.007391146,a
30,t75b,8.6875,-12.56128105,-53.11428105,1.134087096,10.34297138,6.258846009,6.258846009,0.068298466,80,1.156379355,0.699760257,0.699760257,0.007636001,a
31,t90a,9.75308642,-12.8391908,-53.3921908,1.134911209,8.826849472,4.89938254,4.89938254,0.057327053,81,0.980761052,0.544375838,0.544375838,0.006369673,a
32,t90b,8.410958904,-12.66251147,-53.21551147,1.128686124,8.690409171,5.055491581,5.055491581,0.072471719,73,1.017135459,0.591700534,0.591700534,0.008482173,a
